id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345667,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345667,PL,139,25,2023,"Altera a Lei nº 13.445, de 24 de maio de 2017, para determinar o impedimento de ingresso em território nacional de estrangeiros que publicamente atentem contra a democracia no Brasil.",2023-02-02T09:02
2345668,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345668,PL,139,26,2023,Institui o dia 08 de janeiro como Dia Nacional da Resistência da Democracia no Brasil.,2023-02-02T09:02
2345669,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345669,PL,139,27,2023,Altera o Código Penal para tornar automática a perda da função pública do agente público condenado por corrupção passiva.,2023-02-02T09:02
2345670,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345670,PL,139,28,2023,"Dispõe sobre o exercício de funções de magistério, administrativas e de monitoria, por militares das Forças Armadas, em apoio a instituições públicas de ensino dos três níveis da Federação.",2023-02-02T09:02
2345671,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345671,PL,139,29,2023,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, para permitir à pessoa com Transtorno do Espectro Autista o ingresso e permanência em qualquer local portando utensílios de uso pessoal e alimentos para consumo próprio.",2023-02-02T09:02
2345673,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345673,PL,139,30,2023,"Denomina a BR-050, entre o Distrito Federal e a cidade de Santos, de ""Rodovia Rei Pelé"".",2023-02-02T09:02
2345674,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345674,PL,139,31,2023,"Altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente para ampliar o rol dos testes obrigatórios incluindo o rastreamento de doenças no recém-nascido nos hospitais nos hospitais públicos e rede conveniada do Sistema Único de Saúde – SUS e dá outras providências.",2023-02-02T09:02
2345675,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345675,PL,139,32,2023,Dispõe sobre a criação do Fundo Nacional de Combate e Prevenção ao Câncer.,2023-02-02T09:05
2345676,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345676,PL,139,33,2023,Estabelece a metodologia de cálculo do salário mínimo a vigorar em 2023.,2023-02-02T09:05
2345678,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345678,PL,139,34,2023,Veda a concessão de crédito consignado contratado com base em retenção de parcela de benefícios oriundos de programas federais de transferência de renda.,2023-02-02T09:05
2345683,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345683,PLP,140,1,2023,Veda a concessão de crédito pelo BNDES com vistas a financiar a execução de projetos no exterior.,2023-02-02T09:03
